provider_id,provider_name,system_family,indicator_id,score
together,Together AI,Struqta/RedPajama family hosting,GOV3,0.0
together,Together AI,Struqta/RedPajama family hosting,TRA1,
together,Together AI,Struqta/RedPajama family hosting,TRA2,0.0
together,Together AI,Struqta/RedPajama family hosting,TRA3,0.0
together,Together AI,Struqta/RedPajama family hosting,TRA5,
together,Together AI,Struqta/RedPajama family hosting,TRA10,0.0
inflection,Inflection AI,Inflection-1,GOV3,0.0
inflection,Inflection AI,Inflection-1,TRA1,
inflection,Inflection AI,Inflection-1,TRA2,0.0
inflection,Inflection AI,Inflection-1,TRA3,0.0
inflection,Inflection AI,Inflection-1,TRA5,
inflection,Inflection AI,Inflection-1,TRA10,0.0
coqui,Coqui AI,XTTS / TTS family,GOV3,1.0
coqui,Coqui AI,XTTS / TTS family,TRA1,1.0
coqui,Coqui AI,XTTS / TTS family,TRA2,1.0
coqui,Coqui AI,XTTS / TTS family,TRA3,0.0
coqui,Coqui AI,XTTS / TTS family,TRA5,1.0
coqui,Coqui AI,XTTS / TTS family,TRA10,1.0
mistral,Mistral AI,Mistral/Mixtral,TRA2,1.0
mistral,Mistral AI,Mistral/Mixtral,TRA3,1.0
mistral,Mistral AI,Mistral/Mixtral,TRA5,1.0
alephalpha,Aleph Alpha,Luminous,GOV3,0.0
alephalpha,Aleph Alpha,Luminous,TRA1,
alephalpha,Aleph Alpha,Luminous,TRA2,0.0
alephalpha,Aleph Alpha,Luminous,TRA3,0.0
alephalpha,Aleph Alpha,Luminous,TRA5,
alephalpha,Aleph Alpha,Luminous,TRA10,0.0
synthesia,Synthesia,Synthesia Avatars,GOV3,0.0
synthesia,Synthesia,Synthesia Avatars,TRA1,
synthesia,Synthesia,Synthesia Avatars,TRA2,0.0
synthesia,Synthesia,Synthesia Avatars,TRA3,0.0
synthesia,Synthesia,Synthesia Avatars,TRA5,
synthesia,Synthesia,Synthesia Avatars,TRA10,0.0
deepL,DeepL,DeepL LLM / Write,GOV3,0.0
deepL,DeepL,DeepL LLM / Write,TRA1,
deepL,DeepL,DeepL LLM / Write,TRA2,0.0
deepL,DeepL,DeepL LLM / Write,TRA3,0.0
deepL,DeepL,DeepL LLM / Write,TRA5,
deepL,DeepL,DeepL LLM / Write,TRA10,0.0
ai_sweden,AI Sweden,GPT‑SW3,GOV3,1.0
ai_sweden,AI Sweden,GPT‑SW3,TRA1,1.0
ai_sweden,AI Sweden,GPT‑SW3,TRA2,1.0
ai_sweden,AI Sweden,GPT‑SW3,TRA3,1.0
ai_sweden,AI Sweden,GPT‑SW3,TRA5,1.0
ai_sweden,AI Sweden,GPT‑SW3,TRA10,1.0
siloai,Silo AI,Poro,GOV3,1.0
siloai,Silo AI,Poro,TRA1,1.0
siloai,Silo AI,Poro,TRA2,1.0
siloai,Silo AI,Poro,TRA3,1.0
siloai,Silo AI,Poro,TRA5,1.0
siloai,Silo AI,Poro,TRA10,1.0
planTL,PlanTL-GOB (BSC),MarIA,GOV3,1.0
planTL,PlanTL-GOB (BSC),MarIA,TRA1,1.0
planTL,PlanTL-GOB (BSC),MarIA,TRA2,1.0
planTL,PlanTL-GOB (BSC),MarIA,TRA3,1.0
planTL,PlanTL-GOB (BSC),MarIA,TRA5,1.0
planTL,PlanTL-GOB (BSC),MarIA,TRA10,1.0
ukp,UKP Lab (TU Darmstadt),SentenceTransformers,GOV3,0.0
ukp,UKP Lab (TU Darmstadt),SentenceTransformers,TRA1,1.0
ukp,UKP Lab (TU Darmstadt),SentenceTransformers,TRA2,1.0
ukp,UKP Lab (TU Darmstadt),SentenceTransformers,TRA3,1.0
ukp,UKP Lab (TU Darmstadt),SentenceTransformers,TRA5,
ukp,UKP Lab (TU Darmstadt),SentenceTransformers,TRA10,1.0
